# Simulation 9 (Up to date)
# 314 data points written for 10 variables.
#
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),Numero di Mach (​),Numero di Reynolds (​),Forza d'attrito (N),Coefficiente d'attrito (​),Velocita' del suono (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.993,504.007,8.216,0.089,4.526e-4,0.026,6.206e5,0.07,0.384,338.404
9.043,504.405,7.723,0.089,4.526e-4,0.024,5.869e5,0.063,0.389,338.402
9.093,504.779,7.231,0.089,4.526e-4,0.023,5.489e5,0.055,0.395,338.401
9.143,505.128,6.739,0.089,4.526e-4,0.022,5.165e5,0.05,0.4,338.399
9.193,505.453,6.248,0.089,4.526e-4,0.02,4.854e5,0.046,0.405,338.398
9.243,505.753,5.757,0.089,4.526e-4,0.019,4.546e5,0.043,0.411,338.397
9.293,506.028,5.267,0.089,4.526e-4,0.018,4.236e5,0.039,0.417,338.396
9.343,506.28,4.778,0.089,4.526e-4,0.016,3.934e5,0.035,0.424,338.395
9.393,506.506,4.289,0.089,4.526e-4,0.015,3.668e5,0.033,0.43,338.394
9.443,506.709,3.801,0.089,4.526e-4,0.014,3.339e5,0.028,0.439,338.393
9.493,506.886,3.313,0.089,4.526e-4,0.013,3.115e5,0.024,0.446,338.392
9.543,507.04,2.827,0.089,4.526e-4,0.012,2.989e5,0.021,0.45,338.392
9.593,507.169,2.343,0.089,4.526e-4,0.012,2.836e5,0.017,0.456,338.391
9.643,507.274,1.86,0.089,4.526e-4,0.011,2.635e5,0.012,0.464,338.391
9.693,507.355,1.377,0.089,4.526e-4,0.01,2.464e5,0.008,0.471,338.39
9.743,507.412,0.89,0.089,4.526e-4,0.01,2.358e5,0.005,0.475,338.39
9.793,507.444,0.402,0.089,4.526e-4,0.009,2.263e5,0.003,0.48,338.39
# Event APOGEE occurred at t=9.843 seconds
9.843,507.452,-0.086,0.089,4.526e-4,0.01,2.292e5,0.001,0.479,338.39
9.893,507.436,-0.573,0.089,4.526e-4,0.009,2.235e5,2.934e-4,0.481,338.39
9.943,507.395,-1.06,0.089,4.526e-4,0.01,2.303e5,2.04e-5,0.478,338.39
9.993,507.33,-1.547,0.089,4.526e-4,0.01,2.451e5,-1.095e-6,0.471,338.391
10.043,507.24,-2.034,0.089,4.526e-4,0.011,2.646e5,-8.838e-5,0.463,338.391
10.093,507.126,-2.52,0.089,4.526e-4,0.012,2.805e5,-5.145e-4,0.457,338.391
10.143,506.988,-3.005,0.089,4.526e-4,0.013,3.042e5,-0.001,0.449,338.392
10.193,506.826,-3.489,0.089,4.526e-4,0.014,3.253e5,-0.003,0.442,338.393
10.243,506.639,-3.973,0.089,4.526e-4,0.015,3.502e5,-0.005,0.435,338.393
10.293,506.428,-4.455,0.089,4.526e-4,0.016,3.749e5,-0.007,0.428,338.394
10.343,506.194,-4.936,0.089,4.526e-4,0.017,3.99e5,-0.011,0.422,338.395
10.393,505.935,-5.416,0.089,4.526e-4,0.018,4.293e5,-0.014,0.416,338.396
10.443,505.652,-5.893,0.089,4.526e-4,0.019,4.588e5,-0.018,0.41,338.397
10.493,505.345,-6.369,0.089,4.526e-4,0.02,4.877e5,-0.023,0.405,338.398
10.543,505.015,-6.842,0.089,4.526e-4,0.022,5.214e5,-0.027,0.399,338.4
10.593,504.661,-7.312,0.089,4.526e-4,0.023,5.52e5,-0.032,0.394,338.401
10.643,504.284,-7.78,0.089,4.526e-4,0.024,5.823e5,-0.038,0.39,338.403
10.693,503.883,-8.244,0.089,4.526e-4,0.026,6.129e5,-0.045,0.385,338.404
10.743,503.46,-8.705,0.089,4.526e-4,0.027,6.42e5,-0.053,0.382,338.406
10.793,503.013,-9.164,0.089,4.526e-4,0.028,6.735e5,-0.06,0.378,338.408
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=10.843 seconds
10.843,502.543,-9.618,0.089,4.526e-4,0.029,7.039e5,-0.068,0.375,338.409
10.852,502.456,-9.667,NaN,NaN,0.029,7.071e5,3.258,NaN,338.409
11.067,500.256,-10.821,NaN,NaN,0.029,7.828e5,3.288,NaN,338.41
11.273,497.934,-11.714,NaN,NaN,0.032,8.392e5,3.992,NaN,338.418
11.496,495.234,-12.477,NaN,NaN,0.035,8.922e5,4.652,NaN,338.428
11.765,491.788,-13.173,NaN,NaN,0.037,9.388e5,5.23,NaN,338.438
12.096,487.327,-13.765,NaN,NaN,0.039,9.789e5,5.793,NaN,338.452
12.548,480.995,-14.242,NaN,NaN,0.041,1.012e6,6.318,NaN,338.469
13.048,473.817,-14.47,NaN,NaN,0.042,1.028e6,6.737,NaN,338.494
13.548,466.562,-14.549,NaN,NaN,0.043,1.033e6,6.943,NaN,338.523
14.048,459.281,-14.577,NaN,NaN,0.043,1.036e6,7.011,NaN,338.551
14.548,451.991,-14.583,NaN,NaN,0.043,1.037e6,7.041,NaN,338.58
15.048,444.7,-14.581,NaN,NaN,0.043,1.037e6,7.052,NaN,338.609
15.548,437.411,-14.574,NaN,NaN,0.043,1.038e6,7.063,NaN,338.637
16.048,430.125,-14.571,NaN,NaN,0.043,1.038e6,7.056,NaN,338.666
16.548,422.841,-14.567,NaN,NaN,0.043,1.038e6,7.056,NaN,338.695
17.048,415.558,-14.562,NaN,NaN,0.043,1.038e6,7.057,NaN,338.723
17.548,408.279,-14.557,NaN,NaN,0.043,1.038e6,7.057,NaN,338.752
18.048,401.002,-14.551,NaN,NaN,0.043,1.039e6,7.058,NaN,338.781
18.548,393.728,-14.546,NaN,NaN,0.043,1.039e6,7.059,NaN,338.809
19.048,386.456,-14.541,NaN,NaN,0.043,1.039e6,7.057,NaN,338.838
19.548,379.187,-14.536,NaN,NaN,0.043,1.039e6,7.057,NaN,338.867
20.048,371.92,-14.531,NaN,NaN,0.043,1.04e6,7.057,NaN,338.895
20.548,364.656,-14.525,NaN,NaN,0.043,1.04e6,7.058,NaN,338.924
21.048,357.395,-14.52,NaN,NaN,0.043,1.04e6,7.058,NaN,338.953
21.548,350.136,-14.515,NaN,NaN,0.043,1.04e6,7.058,NaN,338.981
22.048,342.88,-14.51,NaN,NaN,0.043,1.041e6,7.057,NaN,339.01
22.548,335.626,-14.505,NaN,NaN,0.043,1.041e6,7.058,NaN,339.038
23.048,328.375,-14.499,NaN,NaN,0.043,1.041e6,7.059,NaN,339.067
23.548,321.126,-14.494,NaN,NaN,0.043,1.041e6,7.057,NaN,339.095
24.048,313.88,-14.489,NaN,NaN,0.043,1.041e6,7.057,NaN,339.124
24.548,306.637,-14.484,NaN,NaN,0.043,1.042e6,7.057,NaN,339.153
25.048,299.396,-14.479,NaN,NaN,0.043,1.042e6,7.057,NaN,339.181
25.548,292.158,-14.473,NaN,NaN,0.043,1.042e6,7.06,NaN,339.21
26.048,284.923,-14.468,NaN,NaN,0.043,1.042e6,7.059,NaN,339.238
26.548,277.69,-14.463,NaN,NaN,0.043,1.043e6,7.06,NaN,339.267
27.048,270.46,-14.458,NaN,NaN,0.043,1.043e6,7.057,NaN,339.295
27.548,263.232,-14.454,NaN,NaN,0.043,1.043e6,7.057,NaN,339.324
28.048,256.007,-14.445,NaN,NaN,0.043,1.043e6,7.068,NaN,339.352
28.548,248.785,-14.443,NaN,NaN,0.043,1.043e6,7.054,NaN,339.38
29.048,241.565,-14.438,NaN,NaN,0.043,1.044e6,7.056,NaN,339.409
29.548,234.347,-14.434,NaN,NaN,0.043,1.044e6,7.057,NaN,339.437
30.048,227.131,-14.429,NaN,NaN,0.043,1.044e6,7.058,NaN,339.466
30.548,219.918,-14.423,NaN,NaN,0.043,1.045e6,7.059,NaN,339.494
31.048,212.708,-14.418,NaN,NaN,0.042,1.045e6,7.059,NaN,339.523
31.548,205.5,-14.414,NaN,NaN,0.042,1.045e6,7.057,NaN,339.551
32.048,198.294,-14.408,NaN,NaN,0.042,1.045e6,7.058,NaN,339.579
32.548,191.091,-14.404,NaN,NaN,0.042,1.045e6,7.058,NaN,339.608
33.048,183.891,-14.397,NaN,NaN,0.042,1.046e6,7.064,NaN,339.636
33.548,176.694,-14.393,NaN,NaN,0.042,1.046e6,7.057,NaN,339.665
34.048,169.499,-14.388,NaN,NaN,0.042,1.046e6,7.059,NaN,339.693
34.548,162.306,-14.384,NaN,NaN,0.042,1.046e6,7.057,NaN,339.721
35.048,155.115,-14.379,NaN,NaN,0.042,1.047e6,7.057,NaN,339.75
35.548,147.927,-14.374,NaN,NaN,0.042,1.047e6,7.057,NaN,339.778
36.048,140.741,-14.369,NaN,NaN,0.042,1.047e6,7.058,NaN,339.806
36.548,133.557,-14.364,NaN,NaN,0.042,1.047e6,7.057,NaN,339.835
